pet_id,color,sex,age,size,hair_length,special_needs_p,purebred_p,shots_current_p,housetrained_p,declawed_p,good_with_kids_p,good_with_dogs_p,good_with_cats_p,spayed_neutered_p
24902720,Brindle,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,f,t,t,t,t
24902723,Black,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,f,t,t,t,t
24902751,,f,,,,f,f,,,,,,,
24902891,Black - with White,f,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24903231,,m,adult,Small 25 lbs (11 kg) or less,,f,t,t,t,f,f,t,t,t
24903232,,m,adult,Small 25 lbs (11 kg) or less,,f,t,t,t,f,f,t,t,t
24903233,,m,adult,Small 25 lbs (11 kg) or less,,f,t,t,t,f,f,t,t,t
24903272,,f,adult,Large 61-100 lbs (28-45 kg),,f,t,t,,,t,,,t
24903301,Tan/Yellow/Fawn - with White,f,puppy,Small 25 lbs (11 kg) or less,,f,f,t,f,,t,t,t,f
24903320,Brown/Chocolate - with Tan,f,puppy,Med. 26-60 lbs (12-27 kg),,f,f,,t,f,t,t,f,t
24903469,Red/Golden/Orange/Chestnut,f,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,f,f,t
24903518,White,m,senior,Small 25 lbs (11 kg) or less,,f,t,t,t,,t,t,t,t
24903527,Black,m,senior,Small 25 lbs (11 kg) or less,,f,t,t,t,,t,t,t,t
24903943,White - with Black,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,,t
24904198,Red/Golden/Orange/Chestnut,m,senior,Small 25 lbs (11 kg) or less,,,,,,,,,,
24904218,Brown/Chocolate - with White,f,,,,f,t,t,,,,t,,t
24904319,,m,young,,,,,t,,,t,t,,t
24904433,,f,adult,,,,,t,,,,t,,t
24904444,,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,t,t,,t
24904604,,m,young,Large 61-100 lbs (28-45 kg),,f,f,t,,f,t,t,,f
24904643,,f,young,Small 25 lbs (11 kg) or less,,f,t,f,,f,t,t,t,t
24904855,Brown/Chocolate - with Black,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,,,,t
24904857,,f,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,t,f,t,f,f,t
24904882,White - with Brown or Chocolate,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,t,f,,f,f,t
24904938,Red/Golden/Orange/Chestnut,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
24905075,,m,senior,Small 25 lbs (11 kg) or less,,f,t,t,,f,,,,t
24905684,Brown/Chocolate,f,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24905844,Black - with White,m,adult,,,,,t,,,,t,,t
24905911,Black,f,young,Small 25 lbs (11 kg) or less,,,f,,,,,,,t
24906187,Tan/Yellow/Fawn - with White,f,senior,Small 25 lbs (11 kg) or less,,f,t,t,t,f,t,t,t,t
24906213,Black,f,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24907131,Merle,m,young,Large 61-100 lbs (28-45 kg),,,t,,,,,,,f
24907265,Black - with Gray or Silver,m,senior,Large 61-100 lbs (28-45 kg),,f,t,t,t,,,t,f,t
24907517,Black - with White,f,puppy,Large 61-100 lbs (28-45 kg),,f,f,t,f,,t,t,t,f
24907568,Black,f,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24908050,Tan/Yellow/Fawn,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24908218,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,,,t,,,,t,,t
24908280,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,f
24908353,Tan/Yellow/Fawn - with White,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,t,t
24908522,Black,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,t,t
24908600,Tan/Yellow/Fawn - with Black,m,young,Large 61-100 lbs (28-45 kg),,,,t,,,t,t,,t
24908634,Black,m,adult,Small 25 lbs (11 kg) or less,,,f,,,,,,,t
24908642,Red/Golden/Orange/Chestnut,f,adult,Small 25 lbs (11 kg) or less,,,f,,,,,,,t
24908649,Brown/Chocolate,f,adult,Small 25 lbs (11 kg) or less,,,f,,,,,,,f
24909325,White - with Black,m,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,f,t,t,t,t
24909331,Black - with White,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,f,f,f,,t
24909384,Tan/Yellow/Fawn - with White,f,puppy,Large 61-100 lbs (28-45 kg),,f,t,t,,,t,t,,
24909410,Brown/Chocolate,f,puppy,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24909592,White,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,,t,t,,t
24909593,Tan/Yellow/Fawn - with White,f,puppy,Large 61-100 lbs (28-45 kg),,f,f,t,,,t,t,,
24909655,Brown/Chocolate - with White,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,,t
24909819,White,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,t
24909876,Red/Golden/Orange/Chestnut,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,f,f,,,,,f
24909885,Tan/Yellow/Fawn - with White,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,
24910016,Black,f,puppy,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24910083,Brindle,m,young,X-Large 101 lbs (46 kg) or more,,f,f,t,f,,,,,t
24910148,Black,m,adult,Large 61-100 lbs (28-45 kg),,,,t,t,,t,t,t,t
24910175,White,m,young,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,t,t,f,t
24910220,Tan/Yellow/Fawn - with White,f,adult,Small 25 lbs (11 kg) or less,,,,t,t,,t,t,,t
24910233,Brindle,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,,t
24910325,Tan/Yellow/Fawn,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,,,t
24910416,"White - with Tan, Yellow or Fawn",m,young,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,,t
24910624,Black,m,young,Large 61-100 lbs (28-45 kg),,f,f,,t,,,,f,t
24910750,Brindle,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,,,,,,t
24910777,White - with Brown or Chocolate,f,young,Small 25 lbs (11 kg) or less,,f,f,t,f,,t,t,t,t
24911485,Red/Golden/Orange/Chestnut - with White,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,t,t
24911506,Black,m,puppy,X-Large 101 lbs (46 kg) or more,,f,f,f,t,,t,t,f,t
24911511,Black,m,adult,X-Large 101 lbs (46 kg) or more,,f,f,t,t,,f,t,,t
24911755,"Black - with Brown, Red, Golden, Orange or Chestnut",m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,f,t,,t
24911774,Tan/Yellow/Fawn - with White,m,adult,Small 25 lbs (11 kg) or less,,f,f,t,,f,,,,t
24912067,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24912112,White,f,young,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24912338,,m,young,Large 61-100 lbs (28-45 kg),,f,f,t,,,,,,t
24912591,Black - with White,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
24912694,Brown/Chocolate - with White,m,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,f,t,,t
24912939,Brown/Chocolate,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24912944,Black,m,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24912999,Tricolor (Tan/Brown & Black & White),f,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
24913307,"White - with Tan, Yellow or Fawn",f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,f,t,t,,t
24913315,Tan/Yellow/Fawn - with Black,m,adult,X-Large 101 lbs (46 kg) or more,,f,f,t,t,f,t,t,t,t
24913349,White,f,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24913350,Brown/Chocolate,f,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24913517,Brown/Chocolate,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24913539,Black - with White,m,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24913677,Red/Golden/Orange/Chestnut,f,senior,Small 25 lbs (11 kg) or less,,f,f,t,t,,,,,f
24913891,White,m,senior,Large 61-100 lbs (28-45 kg),,,f,,t,,,,f,t
24913907,"Black - with Brown, Red, Golden, Orange or Chestnut",m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,,f,f,t
24913984,Tan/Yellow/Fawn - with White,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,f,t
24914041,Brown/Chocolate - with White,m,young,,,,,t,t,,t,t,,t
24914169,Black,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24914288,Red/Golden/Orange/Chestnut - with White,f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,,,,t
24914326,Gray/Blue/Silver/Salt & Pepper,m,young,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24914376,Tricolor (Tan/Brown & Black & White),m,senior,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24914687,,m,young,Large 61-100 lbs (28-45 kg),,f,t,t,f,,f,,f,t
24914752,Gray/Silver/Salt & Pepper - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,,t,t,t,t
24914912,"Black - with Tan, Yellow or Fawn",m,adult,Large 61-100 lbs (28-45 kg),,f,t,t,f,,,,f,f
24915127,"Black - with Tan, Yellow or Fawn",f,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,t,t
24915135,"White - with Tan, Yellow or Fawn",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,t,f,t,t,t,t
24915477,Black - with White,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,,t,,t
24915598,Tan/Yellow/Fawn,m,adult,X-Large 101 lbs (46 kg) or more,,t,t,t,t,,t,t,,f
24915647,Black - with White,m,young,,,,,t,t,,,,,t
24915649,"Black - with Tan, Yellow or Fawn",m,young,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,,t,t,t
24915938,"White - with Tan, Yellow or Fawn",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,f,f,,t,t,,t
24915947,Black - with White,f,adult,Small 25 lbs (11 kg) or less,,t,f,t,f,,f,f,,t
24915956,Brown/Chocolate - with Tan,f,young,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,t
24915968,Brindle,m,adult,Med. 26-60 lbs (12-27 kg),,,t,,,,,,,t
24916237,Tan/Yellow/Fawn,f,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24916259,Tan/Yellow/Fawn,f,senior,Med. 26-60 lbs (12-27 kg),,t,f,t,t,,,,,t
24916340,Tan/Yellow/Fawn,m,adult,Small 25 lbs (11 kg) or less,,t,f,t,f,,t,t,t,t
24916582,,m,senior,Large 61-100 lbs (28-45 kg),,f,f,,,,f,,,t
24916655,Tan/Yellow/Fawn - with White,m,young,Large 61-100 lbs (28-45 kg),,f,t,t,t,,t,t,f,t
24916773,"White - with Tan, Yellow or Fawn",f,adult,Med. 26-60 lbs (12-27 kg),,,,,,,,,,
24916788,Brown/Chocolate,m,senior,Med. 26-60 lbs (12-27 kg),,,,,,,,,,
24916915,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
24917022,,m,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,,,,t
24917040,Brindle,f,young,Small 25 lbs (11 kg) or less,,f,f,f,,f,,,,f
24917200,,f,young,Med. 26-60 lbs (12-27 kg),,f,t,f,,f,,,,f
24917205,,m,adult,Med. 26-60 lbs (12-27 kg),,f,t,f,,f,,,,f
24917208,,f,adult,Med. 26-60 lbs (12-27 kg),,f,t,f,,f,,,,f
24917255,,f,young,Large 61-100 lbs (28-45 kg),,f,f,f,,f,,,,t
24917263,,f,young,Large 61-100 lbs (28-45 kg),,f,f,f,,f,,,,t
24917265,,f,young,Large 61-100 lbs (28-45 kg),,f,f,f,,f,,,,t
24917280,,f,young,Large 61-100 lbs (28-45 kg),,f,f,f,,f,,,,t
24917310,,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,,t,t,t
24917433,White,f,young,Large 61-100 lbs (28-45 kg),,f,f,t,t,,,,,t
24917529,Black - with White,m,young,Large 61-100 lbs (28-45 kg),,f,f,t,f,,t,t,,t
24917542,Red/Golden/Orange/Chestnut - with White,f,young,Med. 26-60 lbs (12-27 kg),,t,f,t,f,,t,,t,t
24917551,White - with Gray or Silver,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,f,t,t,t,t
24917634,"White - with Tan, Yellow or Fawn",f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,f,f,f,t
24917713,Gray/Silver/Salt & Pepper - with White,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,t,,f,t
24917732,Black,f,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24917735,Brindle - with White,m,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
24917924,Brown/Chocolate,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24917953,"White - with Tan, Yellow or Fawn",m,senior,Med. 26-60 lbs (12-27 kg),,t,t,t,t,,t,t,t,t
24918131,Black,f,adult,,,f,f,t,,f,,,,t
24918188,Brown/Chocolate - with White,m,,Large 61-100 lbs (28-45 kg),,,t,t,,,t,t,,t
24918253,Black - with White,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,,,,,,t
24918361,Brown/Chocolate,m,young,Small 25 lbs (11 kg) or less,,,f,,,,,,,t
24918667,"White - with Tan, Yellow or Fawn",m,adult,Large 61-100 lbs (28-45 kg),,f,t,,,,,,,t
24918705,Black,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24918871,Tan/Yellow/Fawn,f,young,Small 25 lbs (11 kg) or less,,f,f,t,f,,,t,,t
24919320,Brindle - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,f,f,f,t
24919439,Tricolor (Tan/Brown & Black & White),f,young,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,t,t
24919645,Tricolor (Tan/Brown & Black & White),m,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
24920039,Tan/Yellow/Fawn - with Black,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,t,t
24920062,Tricolor (Tan/Brown & Black & White),m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,f,t,t,t
24920084,White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,t,,t,t,,t
24920518,White - with Brown or Chocolate,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,t,t
24920538,White - with Brown or Chocolate,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,t,t
24920565,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
24920744,Brown/Chocolate,f,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24920993,White,m,adult,Large 61-100 lbs (28-45 kg),,,f,,t,,,,,t
24921389,"White - with Red, Golden, Orange or Chestnut",m,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,f,,t,t,t,f
24921784,White - with Black,f,adult,,,f,t,,t,,,t,f,
24921786,Black,m,adult,,,f,t,,t,,t,t,f,
24921815,Tan/Yellow/Fawn,f,adult,Small 25 lbs (11 kg) or less,,f,f,f,f,,,,,f
24922104,,f,young,Med. 26-60 lbs (12-27 kg),,f,t,t,,,,,,t
24922111,Brown/Chocolate,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24922318,,f,senior,Med. 26-60 lbs (12-27 kg),,f,f,t,,,t,t,t,
24923069,,m,young,Med. 26-60 lbs (12-27 kg),,f,t,t,,,,,,t
24923302,"White - with Tan, Yellow or Fawn",m,senior,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,t
24923305,Tricolor (Tan/Brown & Black & White),f,senior,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,t
24923449,Black,f,puppy,Large 61-100 lbs (28-45 kg),,f,f,f,f,,,,,f
24923456,Tricolor (Tan/Brown & Black & White),f,adult,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,t
24923469,Black - with White,f,puppy,Small 25 lbs (11 kg) or less,,f,f,t,t,,,t,t,t
24923485,Black,f,puppy,Large 61-100 lbs (28-45 kg),,f,f,f,f,,,,,f
24923536,Tricolor (Tan/Brown & Black & White),m,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,t,t,,t
24923539,Tricolor (Tan/Brown & Black & White),m,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,t,t,,t
24923643,Tricolor (Tan/Brown & Black & White),m,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,t,t,,t
24923710,Brindle - with White,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
24923718,Brindle - with White,f,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
24923763,Tan/Yellow/Fawn,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,,t,,t
24923948,White - with Brown or Chocolate,m,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,,t
24924387,"Black - with Tan, Yellow or Fawn",f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
24924442,Tan/Yellow/Fawn - with Black,m,young,Large 61-100 lbs (28-45 kg),,f,t,t,f,,,,,t
24924881,,m,puppy,Small 25 lbs (11 kg) or less,,f,f,f,,f,,,,t
24925038,White - with Brown or Chocolate,f,adult,Small 25 lbs (11 kg) or less,,f,t,t,f,,,,,t
24925044,White - with Black,m,puppy,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,f
24925046,Brown/Chocolate,m,adult,Small 25 lbs (11 kg) or less,,f,t,t,f,,,,,t
24925049,White - with Brown or Chocolate,f,senior,Small 25 lbs (11 kg) or less,,f,t,t,f,,,,,t
24925053,Black - with White,f,young,Small 25 lbs (11 kg) or less,,f,f,t,f,,,,,t
24925088,Tan/Yellow/Fawn - with Black,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,f,f,,,,t
24925155,,m,adult,Med. 26-60 lbs (12-27 kg),,f,f,f,,f,,,,t
24925285,,m,senior,Small 25 lbs (11 kg) or less,,f,t,f,,f,,,,t
24925292,,f,young,Large 61-100 lbs (28-45 kg),,f,f,f,,f,,,,f
24925293,,f,young,Large 61-100 lbs (28-45 kg),,f,f,f,,f,,,,t
24925525,Red/Golden/Orange/Chestnut,m,senior,Small 25 lbs (11 kg) or less,,f,t,f,,f,,,,t
24925534,,m,adult,Large 61-100 lbs (28-45 kg),,f,t,f,,f,,,,f
24925695,White - with Brown or Chocolate,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,f,f,t
24925895,Brown/Chocolate - with Black,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,f,f,,,t,,f
24925931,Tan/Yellow/Fawn,m,young,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24925978,Brindle - with White,f,adult,Large 61-100 lbs (28-45 kg),,f,t,t,,,,,,t
24925986,Brindle,f,adult,Large 61-100 lbs (28-45 kg),,f,f,,,,,,,t
24926079,Red/Golden/Orange/Chestnut,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24926740,Tan/Yellow/Fawn - with White,f,senior,Med. 26-60 lbs (12-27 kg),,t,f,,t,,,t,t,t
24926937,,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,,t,,t
24927061,Tan/Yellow/Fawn - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
24927181,,f,,,,f,f,,,,f,f,f,
24927327,Gray/Blue/Silver/Salt & Pepper,f,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,,,t,,t
24927644,"Black - with Brown, Red, Golden, Orange or Chestnut",f,adult,Small 25 lbs (11 kg) or less,,f,f,t,f,,,t,t,t
24928381,Black,f,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,f
24928505,Tricolor (Tan/Brown & Black & White),f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,t
24928867,"White - with Tan, Yellow or Fawn",m,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,t,t,,t
24929215,Tricolor (Tan/Brown & Black & White),m,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,t,,,,,t
24929243,Black - with White,f,young,Large 61-100 lbs (28-45 kg),,f,f,t,f,,,t,,t
24929361,Brown/Chocolate - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,,,t
24929695,White - with Black,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,,t
24929739,Brown/Chocolate,m,senior,,,f,f,t,,f,,,,t
24930091,Tricolor (Tan/Brown & Black & White),f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,t
24930092,Tricolor (Tan/Brown & Black & White),f,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,t
24930180,Red/Golden/Orange/Chestnut,f,adult,Med. 26-60 lbs (12-27 kg),,f,t,t,t,,t,t,t,t
24930234,Gray/Blue/Silver/Salt & Pepper,m,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,f,,f,f
24930247,Tan/Yellow/Fawn - with White,f,adult,Small 25 lbs (11 kg) or less,,f,t,t,t,,,t,t,f
24930395,Tan/Yellow/Fawn,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24930429,Brown/Chocolate - with White,f,adult,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,t
24930447,Brown/Chocolate - with White,f,senior,Small 25 lbs (11 kg) or less,,,,t,,,,t,,t
24930852,Black,f,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24930912,Black,m,puppy,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24931084,Brown/Chocolate - with Black,f,young,Small 25 lbs (11 kg) or less,,,f,,,,,,,t
24931481,,m,young,Med. 26-60 lbs (12-27 kg),,f,f,f,f,f,t,t,t,f
24931492,White - with Black,m,puppy,Med. 26-60 lbs (12-27 kg),,f,f,t,,,t,t,,t
24931552,Black,f,puppy,Med. 26-60 lbs (12-27 kg),,,t,,,,,,,t
24931662,Brown/Chocolate,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24931779,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,,t,,t
24931944,Brown/Chocolate - with White,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,f,,f,f,f,t
24931956,White,f,senior,Small 25 lbs (11 kg) or less,,f,t,t,f,,f,t,,t
24932021,Black,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,,,,,,,f
24932078,Black - with White,f,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,,t
24932136,Black - with White,m,adult,Large 61-100 lbs (28-45 kg),,,t,,,,,,,t
24932164,Tan/Yellow/Fawn,f,adult,Large 61-100 lbs (28-45 kg),,,t,,,,,,,t
24932356,Black,m,adult,Large 61-100 lbs (28-45 kg),,f,f,,,,,,,t
24932720,Tricolor (Tan/Brown & Black & White),m,adult,Small 25 lbs (11 kg) or less,,f,f,f,f,,,,,f
24932871,White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,t,,t,t,t,t
24932930,Tan/Yellow/Fawn,m,young,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,,t
24933131,,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,f,,f,,t,t,f
24933163,Tan/Yellow/Fawn - with White,m,young,Med. 26-60 lbs (12-27 kg),,f,f,f,f,,,,,f
24933193,"White - with Tan, Yellow or Fawn",f,young,Med. 26-60 lbs (12-27 kg),,f,t,t,t,f,,,,t
24933199,Tan/Yellow/Fawn,m,puppy,Small 25 lbs (11 kg) or less,,f,f,t,f,,t,t,,t
24933261,Tan/Yellow/Fawn - with Black,f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,t,t
24933268,"Black - with Tan, Yellow or Fawn",m,adult,Large 61-100 lbs (28-45 kg),,f,t,t,f,,,,,t
24933269,White,f,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,f,,f,t,,t
24933372,White - with Black,f,young,Small 25 lbs (11 kg) or less,,t,f,f,f,,,,,f
24933520,Red/Golden/Orange/Chestnut - with White,m,adult,Small 25 lbs (11 kg) or less,,f,f,t,f,,f,,,t
24933542,Brindle,f,senior,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,t,t,,t
24933879,,m,,,,f,t,t,t,,,t,t,t
24934077,,m,adult,Small 25 lbs (11 kg) or less,,f,f,,,,,,,t
24934080,,f,adult,Small 25 lbs (11 kg) or less,,f,f,,,,,,,t
24934086,,m,adult,Large 61-100 lbs (28-45 kg),,f,f,,,,,,,t
24934593,,f,young,Large 61-100 lbs (28-45 kg),,f,t,f,,f,t,f,f,f
24934767,Black - with White,m,adult,Large 61-100 lbs (28-45 kg),,f,f,t,t,,t,t,f,t
24935122,Brindle,f,senior,Large 61-100 lbs (28-45 kg),,f,t,t,t,,t,t,t,t
24935158,Black - with White,f,adult,Med. 26-60 lbs (12-27 kg),,f,t,,t,,,,,t
24935510,Brown/Chocolate,f,adult,Large 61-100 lbs (28-45 kg),,f,f,,,,,,,t
24935919,White,m,young,X-Large 101 lbs (46 kg) or more,,,f,,t,,,f,f,t
24936126,Tricolor (Tan/Brown & Black & White),m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,,t
24936158,Tricolor (Tan/Brown & Black & White),m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,,t
24936179,"White - with Tan, Yellow or Fawn",f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,f,t,t,,t
24936180,Tricolor (Tan/Brown & Black & White),m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,,t
24936181,White,m,senior,Med. 26-60 lbs (12-27 kg),,t,f,t,t,,,t,,t
24936414,"White - with Tan, Yellow or Fawn",f,young,Med. 26-60 lbs (12-27 kg),,f,f,t,f,f,t,t,,t
24936415,Tricolor (Tan/Brown & Black & White),m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,,t
24936419,Tricolor (Tan/Brown & Black & White),m,adult,Med. 26-60 lbs (12-27 kg),,f,f,t,,f,t,t,,t
24936686,Red/Golden/Orange/Chestnut,m,puppy,Med. 26-60 lbs (12-27 kg),,,f,,,,,,,f
24936792,Black,f,adult,Large 61-100 lbs (28-45 kg),,f,t,t,t,f,t,t,f,t
24936939,Gray/Silver/Salt & Pepper - with White,f,adult,Med. 26-60 lbs (12-27 kg),,,t,,,,,,,t
24936946,Brown/Chocolate - with White,m,adult,Large 61-100 lbs (28-45 kg),,,f,,,,,,,t
24937057,Tan/Yellow/Fawn,f,adult,,,f,f,,,f,,,,t
24937107,"Black - with Tan, Yellow or Fawn",m,adult,Small 25 lbs (11 kg) or less,,f,f,t,t,,t,t,t,t
24937233,,f,young,X-Large 101 lbs (46 kg) or more,,f,t,,f,f,,,,t
24937236,,m,young,Med. 26-60 lbs (12-27 kg),,f,f,,f,f,,,,t
